task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	4c/9d5d51	3367	GENERATE_FIXTURES (fixtures)	COMPLETED	0	2026-08-14 23:16:47.869	4.4s	4.1s	131.3%	220.6 MB	2.1 GB	60.8 MB	213.2 KB
2	9c/726e80	3800	PARSE_SUBJECT (sub-0013)	COMPLETED	0	2026-08-14 23:16:52.479	7.5s	6.9s	87.6%	169.3 MB	763.7 MB	61 MB	24.3 KB
3	df/e5f1b4	3818	PARSE_SUBJECT (sub-0012)	COMPLETED	0	2026-08-14 23:16:52.501	7.8s	7.2s	84.5%	188.3 MB	785.2 MB	61 MB	24.3 KB
5	77/d0ee47	3790	PARSE_SUBJECT (sub-0007)	COMPLETED	0	2026-08-14 23:16:52.450	8.2s	7.7s	79.2%	207.2 MB	2.2 GB	61 MB	23.4 KB
4	af/f723a0	3825	PARSE_SUBJECT (sub-0014)	COMPLETED	0	2026-08-14 23:16:52.514	8.7s	7.9s	77.5%	182.7 MB	782.7 MB	61 MB	23.6 KB
7	6e/be44cf	6410	PARSE_SUBJECT (sub-0005)	COMPLETED	0	2026-08-14 23:17:00.647	7.8s	7.3s	87.7%	207.6 MB	2.2 GB	61 MB	23.6 KB
10	b8/90cb2c	6111	PARSE_SUBJECT (sub-0001)	COMPLETED	0	2026-08-14 23:17:00.311	8.3s	7.4s	85.1%	207.3 MB	2.2 GB	61 MB	24.2 KB
6	8d/66cf35	5900	PARSE_SUBJECT (sub-0010)	COMPLETED	0	2026-08-14 23:17:00.002	8.8s	8.1s	78.5%	183.9 MB	778.7 MB	61 MB	23.6 KB
8	34/5f68d3	6724	PARSE_SUBJECT (sub-0002)	COMPLETED	0	2026-08-14 23:17:01.290	8.3s	7.8s	80.7%	203.7 MB	2.2 GB	61 MB	24.3 KB
9	d8/bd0024	8489	PARSE_SUBJECT (sub-0015)	COMPLETED	0	2026-08-14 23:17:08.446	8s	7.5s	84.8%	223.3 MB	2.2 GB	61 MB	24.3 KB
11	2b/f5935c	8676	PARSE_SUBJECT (sub-0003)	COMPLETED	0	2026-08-14 23:17:08.709	7.9s	7.3s	85.6%	189.3 MB	787.6 MB	61 MB	24.3 KB
14	d6/1cc335	8840	PARSE_SUBJECT (sub-0004)	COMPLETED	0	2026-08-14 23:17:08.888	7.9s	7.3s	85.0%	171.1 MB	770.4 MB	61 MB	23.6 KB
12	14/2860b2	9224	PARSE_SUBJECT (sub-0011)	COMPLETED	0	2026-08-14 23:17:09.618	7.7s	7.2s	87.0%	223.2 MB	2.2 GB	61 MB	24.8 KB
16	91/220c1f	11141	PARSE_SUBJECT (sub-0009)	COMPLETED	0	2026-08-14 23:17:16.796	7.2s	6.7s	90.2%	207.4 MB	2.2 GB	61 MB	24.3 KB
17	3a/d869e6	11037	PARSE_SUBJECT (sub-0016)	COMPLETED	0	2026-08-14 23:17:16.622	7.6s	7s	87.7%	165.1 MB	760.5 MB	61 MB	24.3 KB
13	00/aa7c80	10965	PARSE_SUBJECT (sub-0008)	COMPLETED	0	2026-08-14 23:17:16.499	7.8s	7.3s	83.9%	222.9 MB	2.2 GB	61 MB	24.2 KB
15	f0/e1a0fb	11651	PARSE_SUBJECT (sub-0006)	COMPLETED	0	2026-08-14 23:17:17.387	7.2s	6.7s	89.1%	176.2 MB	774.1 MB	61 MB	24.3 KB
18	ee/a970b8	13397	COLLECT_CANONICAL (collect)	COMPLETED	0	2026-08-14 23:17:24.608	4.2s	3.9s	134.5%	156.2 MB	751.1 MB	61.3 MB	41.7 KB
19	e2/40dd85	13938	QC (qc)	COMPLETED	0	2026-08-14 23:17:28.846	4.2s	4s	132.5%	244.7 MB	2.3 GB	61 MB	51.8 KB
20	2a/5c3a07	14364	HARMONIZE (harmonize)	COMPLETED	0	2026-08-14 23:17:33.107	4s	3.8s	135.3%	160.7 MB	758.9 MB	61 MB	54.9 KB
21	70/5cfcb3	14809	MODEL (model)	COMPLETED	0	2026-08-14 23:17:37.170	22.2s	21.9s	163.7%	262.1 MB	2.3 GB	61.1 MB	86.7 KB
22	26/1f920d	15697	ACCOUNTING (accounting)	COMPLETED	0	2026-08-14 23:17:59.354	4.1s	3.8s	134.7%	155.1 MB	753.6 MB	61.2 MB	10.1 KB
23	8c/042332	16183	REPORT (report)	COMPLETED	0	2026-08-14 23:18:03.502	6s	5.7s	134.2%	173 MB	773.7 MB	91.5 MB	48.7 KB
