task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	04/aab3e2	3214	GENERATE_FIXTURES (fixtures)	COMPLETED	0	2026-08-14 22:57:08.935	4.2s	3.8s	131.8%	153.5 MB	749.2 MB	60.8 MB	213.2 KB
5	ce/abb232	3711	PARSE_SUBJECT (sub-0007)	COMPLETED	0	2026-08-14 22:57:13.328	7.2s	6.6s	88.2%	179.8 MB	779.9 MB	60.9 MB	23.4 KB
2	a4/284c9b	3676	PARSE_SUBJECT (sub-0013)	COMPLETED	0	2026-08-14 22:57:13.290	7.4s	6.7s	85.7%	223.1 MB	2.3 GB	60.9 MB	24.3 KB
3	2b/84d35e	3717	PARSE_SUBJECT (sub-0012)	COMPLETED	0	2026-08-14 22:57:13.342	7.3s	6.6s	87.6%	179.9 MB	778.3 MB	60.9 MB	24.3 KB
4	c1/992d43	3668	PARSE_SUBJECT (sub-0014)	COMPLETED	0	2026-08-14 22:57:13.270	7.4s	6.6s	86.6%	178.8 MB	777.9 MB	60.9 MB	23.6 KB
8	46/b41064	6013	PARSE_SUBJECT (sub-0002)	COMPLETED	0	2026-08-14 22:57:20.687	6.7s	6.2s	91.3%	176.1 MB	775.1 MB	60.9 MB	24.3 KB
6	92/dc5e7e	6065	PARSE_SUBJECT (sub-0010)	COMPLETED	0	2026-08-14 22:57:20.721	7s	6.3s	90.6%	176.4 MB	773.5 MB	60.9 MB	23.6 KB
7	3c/1f4ce8	5887	PARSE_SUBJECT (sub-0005)	COMPLETED	0	2026-08-14 22:57:20.515	7.4s	6.7s	86.0%	224.9 MB	2.2 GB	60.9 MB	23.6 KB
9	72/fc4154	6084	PARSE_SUBJECT (sub-0015)	COMPLETED	0	2026-08-14 22:57:20.743	7.3s	6.6s	87.5%	204.6 MB	2.2 GB	60.9 MB	24.3 KB
10	5b/217da2	7892	PARSE_SUBJECT (sub-0001)	COMPLETED	0	2026-08-14 22:57:27.425	7s	6.4s	88.2%	189.2 MB	787.6 MB	60.9 MB	24.3 KB
14	e5/25c67a	8314	PARSE_SUBJECT (sub-0004)	COMPLETED	0	2026-08-14 22:57:27.925	6.9s	6.4s	89.8%	182.3 MB	780.5 MB	60.9 MB	23.6 KB
11	ac/789768	8410	PARSE_SUBJECT (sub-0003)	COMPLETED	0	2026-08-14 22:57:28.073	7.3s	6.8s	85.9%	180.1 MB	780.2 MB	60.9 MB	24.3 KB
12	3a/08889d	8137	PARSE_SUBJECT (sub-0011)	COMPLETED	0	2026-08-14 22:57:27.754	7.6s	7s	82.3%	222.8 MB	2.2 GB	60.9 MB	24.9 KB
13	55/ac42b1	10154	PARSE_SUBJECT (sub-0008)	COMPLETED	0	2026-08-14 22:57:34.493	7.2s	6.7s	84.4%	175.8 MB	774.2 MB	60.9 MB	24.2 KB
16	d9/e9e5e2	10407	PARSE_SUBJECT (sub-0009)	COMPLETED	0	2026-08-14 22:57:34.893	7.1s	6.6s	86.6%	173.7 MB	773.8 MB	60.9 MB	24.3 KB
17	ea/3e7b88	10761	PARSE_SUBJECT (sub-0016)	COMPLETED	0	2026-08-14 22:57:35.404	6.8s	6.3s	88.8%	177.5 MB	779.3 MB	60.9 MB	24.3 KB
15	bc/eff09d	10755	PARSE_SUBJECT (sub-0006)	COMPLETED	0	2026-08-14 22:57:35.391	7s	6.5s	86.1%	207.9 MB	2.2 GB	60.9 MB	24.3 KB
18	ed/5abbdd	12688	COLLECT_CANONICAL (collect)	COMPLETED	0	2026-08-14 22:57:42.420	4s	3.7s	134.6%	170.5 MB	768.8 MB	61.3 MB	41 KB
19	9a/f45e8d	13166	QC (qc)	COMPLETED	0	2026-08-14 22:57:46.450	4.1s	3.8s	132.6%	154.4 MB	748.7 MB	61 MB	51.8 KB
20	7a/7013b4	13618	HARMONIZE (harmonize)	COMPLETED	0	2026-08-14 22:57:50.560	3.9s	3.7s	134.2%	171 MB	770.3 MB	61 MB	54.9 KB
21	67/4fd5ca	14063	MODEL (model)	COMPLETED	0	2026-08-14 22:57:54.486	17.7s	17.4s	172.2%	261.1 MB	2.3 GB	61.1 MB	86.7 KB
22	89/6cbdc6	14875	ACCOUNTING (accounting)	COMPLETED	0	2026-08-14 22:58:12.203	4s	3.7s	134.6%	169.8 MB	768.5 MB	61.2 MB	9.9 KB
23	a5/e16e2c	15361	REPORT (report)	COMPLETED	0	2026-08-14 22:58:16.214	5.7s	5.5s	134.5%	182.9 MB	782.5 MB	91.5 MB	48.6 KB
